League Number,League,Team Name,% Distance Covered,Category,Week,,
4,Walking/Wheelchair - Target: 509 miles,The Pramblers,0,One,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Yorkshire Puddings,194,Two,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Lease we can do,192,Three,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Holdens Team,160,Four,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Dreigiau Cymru (Connells S&V),151,One,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Innes England,149,Two,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Cornwall Committee,149,Three,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Leaping Lions,142,Four,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Voyagers,142,One,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells East Anglia,115,Two,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Surrey ,109,Three,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Built to Hop,107,Four,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Non-Traditionals,103,One,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells S&V East London and Essex ,97,Two,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells Striding Surveyors,90,Three,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Specials ,89,Four,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics UK Board ,72,One,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Watsons Wanderers,70,Two,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Management Mileage Monsters,63,Three,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",London South,60,Four,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Quants Queens,54,One,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Seaden Strollers,50,Two,3,,
2,Running/Racing Wheelchair League - Target: 379 miles,"The Rapid, Resolute (and Relucant) Running Club ",108,Three,3,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem Tenners + 1,103,Four,3,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem London,101,One,3,,
3,Cycling League - Target: 782 miles,Shepherd Cyclists,140,Two,3,,
3,Cycling League - Target: 782 miles,Fit4it,65,Three,3,,
3,Cycling League - Target: 782 miles,Easy Riders,65,Four,3,,
4,Walking/Wheelchair - Target: 509 miles,RICS Matrics London Committee,274,One,3,,
4,Walking/Wheelchair - Target: 509 miles,Quantem Birmingham,211,Two,3,,
4,Walking/Wheelchair - Target: 509 miles,VOA Cardiff,110,Three,3,,
4,Walking/Wheelchair - Target: 509 miles,Connells Pacemakers,109,Four,3,,
4,Walking/Wheelchair - Target: 509 miles,The Pramblers,78,One,3,,
4,Walking/Wheelchair - Target: 509 miles,The Survey Stumblers,70,Two,3,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Lease we can do,286,Two,4,, 286 230
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Yorkshire Puddings,268,Three,4,,The Yorkshire Puddings Connells 268 400
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Holdens Team,231,Four,4,,The Holdens Team Holden's Chartered Surveyors 231 200
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Dreigiau Cymru (Connells S&V),229,One,4,,Dreigiau Cymru (Connells S&V) Connells 229 615
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Leaping Lions,228,Two,4,,The Leaping Lions LionHeart 228 50
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Seaden Strollers,225,Two,4,,The Seaden Strollers Calfordseaden LLP 225 787
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Innes England,219,Three,4,,Innes England Innes England 219 500
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Cornwall Committee,217,Four,4,,RICS Matrics Cornwall Committee RICS Matrics 217 100
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells East Anglia,167,One,4,,Connells East Anglia Connells 167 220
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Surrey ,165,Two,4,,RICS Matrics Surrey RICS Matrics 165 490
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Built to Hop,145,Two,4,,Built to Hop N/A 145 460
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Voyagers,142,Three,4,,Voyagers VOA 142 239
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Management Mileage Monsters,135,Four,4,,Management Mileage Monsters Connells 135 500
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Non-Traditionals,130,One,4,,The Non-Traditionals Connells 130 1 035
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells Striding Surveyors,126,Two,4,,Connells Striding Surveyors Connells 126 753
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics UK Board ,120,Two,4,,RICS Matrics UK Board RICS Matrics 120 25
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Watsons Wanderers,117,Three,4,,Watsons Wanderers Watsons Property Group 117 1 045
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Specials ,115,Four,4,,The Specials RICS 115
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells S&V East London and Essex ,109,One,4,,Connells S&V East London and Essex Connells 109 310
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",London South,108,Two,4,,London South Connells 108 360
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Quants Queens,77,Two,4,,Quants Queens 77 130
2,Running/Racing Wheelchair League - Target: 379 miles,"The Rapid, Resolute (and Relucant) Running Club ",163,Three,4,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem London,141,Four,4,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem Tenners + 1,126,One,4,,
3,Cycling League - Target: 782 miles,Fit4it,304,Two,4,,
3,Cycling League - Target: 782 miles,Shepherd Cyclists,191,Two,4,,
3,Cycling League - Target: 782 miles,Easy Riders,168,Three,4,,
4,Walking/Wheelchair - Target: 509 miles,RICS Matrics London Committee,375,Four,4,,
4,Walking/Wheelchair - Target: 509 miles,Quantem Birmingham,271,One,4,,
4,Walking/Wheelchair - Target: 509 miles,The Pramblers,134,Two,4,,
4,Walking/Wheelchair - Target: 509 miles,Connells Pacemakers,124,Two,4,,
4,Walking/Wheelchair - Target: 509 miles,VOA Cardiff,115,Three,4,,
4,Walking/Wheelchair - Target: 509 miles,The Survey Stumblers,108,Four,4,,
,,RICS Matrics,,,,,
,,Quantem ,,,,,
,,VOA,,,,,
,,Connells ,,,,,
,,SDL Surveying + L&G,,,,,
,,SDL Surveying,,,,,
